id,k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id
591,519,"Song, ""Das Lied der Trennung""",Vienna,519,519,,1787,23 May 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
592,52,"""Daphne, deine Rosenwangen""",Vienna,52,46c,,1768,Summer 1768,12,,,2025-09-05 20:46:27.448184+00,
593,520,"Song, ""Als Luise die Briefe ihres ungetreuen Liebhabers verbrannte""",Vienna,520,520,,1787,25 May 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
594,521,Sonata in C for Piano Four-Hands,Vienna,521,521,C Major,1787,29 May 1787,31,Piano Music,Works for two pianos and for piano four hands,2025-09-05 20:46:27.448184+00,
595,522,Ein musikalischer Spaß,Vienna,522,522,F Major,1787,14 June 1787,31,Divertimenti/Serenades,Divertimenti for string and wind instruments,2025-09-05 20:46:27.448184+00,
596,522a,Rondo for Orchestra in F (in conjunction with K. 522),Vienna,Anh. 108,522a,F Major,1787,14 June 1787,31,,,2025-09-05 20:46:27.448184+00,
597,523,"Song, ""Abendempfindung an Laura""",Vienna,523,523,,1787,24 June 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
598,524,"Song, ""An Chloe""",Vienna,524,524,,1787,24 June 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
599,525,"Serenade No. 13 in G, Eine kleine Nachtmusik",Vienna,525,525,G Major,1787,10 August 1787,31,Orchestral Music,"Cassations, Serenades and Divertimenti for orchestra",2025-09-05 20:46:27.448184+00,
600,525a,Larghetto for Strings in C (draft to K. 525),Vienna,Anh. 69,525a,C Major,1787,10 August 1787,31,,,2025-09-05 20:46:27.448184+00,
601,526,Violin Sonata No. 35 in A,Vienna,526,526,A Major,1787,24 August 1787,31,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
602,526a,Movement to a Violin Sonata in A (draft to K. 526),Vienna,Anh. 50,526a,A Major,1787,24 August 1787,31,,,2025-09-05 20:46:27.448184+00,
603,527,Don Giovanni,Prague,527,527,,1787,28 October 1787,31,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
604,528,"Scena for Soprano, ""Bella mia fiamma""",Prague,528,528,,1787,3 November 1787,31,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
605,529,"Song, ""Des kleinen Friedrichs Geburtstag""",Prague,529,529,,1787,6 November 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
606,53,"Song, ""An die Freude""",Vienna,53,47e,,1768,November 1768,12,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
607,530,"Song, ""Das Traumbild""",Prague,530,530,,1787,6 November 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
608,531,"Song, ""Die kleine Spinnerin""",Vienna,531,531,,1787,11 December 1787,31,Vocal Music (smaller forms),Lieder,2025-09-05 20:46:27.448184+00,
609,532,"Terzetto ""Grazie agl'inganni tuoi"" (sketch)",Vienna,,,,1787,,31,Vocal Music (smaller forms),Notturni & Polyphonic singing,2025-09-05 20:46:27.448184+00,
610,533,Piano Sonata No. 15 in F,Vienna,533,533,F Major,1788,3 January 1788,32,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
611,534,"Contredanse, ""Das Donnerwetter""",Vienna,534,534,D Major,1788,14 January 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
612,535,"Contredanse, ""La Bataille""",Vienna,535,535,C Major,1788,23 January 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
613,535a,3 Contredanses,Vienna,nan,535a,,1788,early 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
614,535b,Contredanse in B-flat (fragment),Vienna,Anh. 107,535b,B Flat Major,1788,early 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
615,536,6 German Dances,Vienna,536,536,,1788,27 January 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
616,537,"Piano Concerto No. 26 in D, ""Coronation""",Vienna,537,537,D Major,1788,24 February 1788,32,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
617,537a,Movement to a Piano Concerto in D (in conjunction with K. 537),Vienna,Anh. 57,537a,D Major,1788,February 1788,32,,,2025-09-05 20:46:27.448184+00,
618,537b,Movement to a Piano Concerto in D minor (in conjunction with K. 537),Vienna,Anh. 61,537b,D Minor,1788,February 1788,32,,,2025-09-05 20:46:27.448184+00,
619,537c,Movement to a Piano Concerto in E-flat (in conjunction with K. 491),Vienna,Anh. 62,491a,E Flat Major,1786,March 1786,30,,,2025-09-05 20:46:27.448184+00,
620,538,"Aria for Soprano, ""Ah se in ciel""",Vienna,538,538,,1788,4 March 1788,32,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
621,539,"Song, ""Ein deutsches Kriegslied""",Vienna,539,539,,1788,5 March 1788,32,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
622,54,5 Variations in F for Piano,Vienna,54,Anh. 138a; 547b,F Major,1768,July 1788,12,Piano Music,Variations for Piano,2025-09-05 20:46:27.448184+00,
623,540,Adagio in B minor for Piano,Vienna,540,540,B Minor,1788,19 March 1788,32,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
624,540a,"Aria for Tenor, ""Dalla sua pace""",Vienna,nan,540a,,1788,24 April 1788,32,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
625,540b,"Duet for Soprano and Bass, ""Per queste tue manine""",Vienna,nan,540b,,1788,28 April 1788,32,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
626,540c,"Recitative and Aria for Soprano, ""In quali eccessi … Mi tradì quell'alma ingrata""",Vienna,nan,540c,,1788,30 April 1788,32,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
627,541,"Arietta for Bass, ""Un bacio di mano""",Vienna,541,541,,1788,May 1788,32,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
628,542,Piano Trio No. 4 in E,Vienna,542,542,E Major,1788,22 June 1788,32,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
629,543,Symphony No. 39 in E-flat,Vienna,543,543,E Flat Major,1788,26 June 1788,32,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
630,544,"Incipit of ""March in D 'Ein kleiner Marsch'"" (fragment)",Vienna,544,544,D Major,1788,28 June 1788,32,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
631,545,"Piano Sonata No. 16 in C, ""'Facile'""",Vienna,545,545,C Major,1788,26 June 1788,32,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
632,546,Adagio and Fugue in C minor,Vienna,546,546,C Minor,1788,26 June 1788,32,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
